,Sentence,Polarity,Subjectivity
0,"This material may not be published, broadcast, rewritten, or redistributed. ©2025 FOX News Network, LLC. All rights reserved. Quotes displayed in real-time or delayed by at least 15 minutes. Market data provided by Factset. Powered and implemented by FactSet Digital Solutions. Legal Statement. Mutual Fund and ETF data provided by Refinitiv Lipper.",-0.033333333333333326,0.20000000000000004
1,"Former FBI agent Nicole Parker says the FBI's new leadership will make it the ""premier law enforcement agency again"" following the arrests of three Most Wanted fugitives.",0.1590909090909091,0.26363636363636367
2,"The FBI has had prompt success capturing fugitives since President Trump took office, according to Director Kash Patel.",0.3,0.0
3,Patel announced on Tuesday that the FBI has apprehended three fugitives from the agency’s 10 Most Wanted list since Jan. 20.,0.5,0.5
4,"""This is the FBI that I was proud to work for, and I'm really excited to see that they have already arrested several of the FBI's Most Wanted fugitives,"" former FBI agent and Fox News contributor Nicole Parker told Fox News Digital. ""When President Trump took over in 2017 in his first administration, I was a violent crime agent in Miami, and I specifically remember that he said that his top priority was to focus on violent criminals.""",0.08249999999999999,0.5083333333333334
5,"Parker believes that in his second term, Trump’s ""focus"" is what ""Americans care about most: making America safe, focusing on violent crime and taking the most violent criminals off the street.""",-0.01666666666666668,0.5833333333333334
6,PATEL SAYS FBI HAS CAPTURED ITS 3RD MOST WANTED FUGITIVE SINCE TRUMP TOOK OFFICE: ‘LET GOOD COPS BE GOOD COPS’,0.475,0.42500000000000004
7,"Kash Patel, director of the FBI, speaks during a swearing-in ceremony in Washington on Feb. 21, 2025. (Will Oliver/EPA/Bloomberg via Getty Images)",0.0,0.0
8,"Patel on Tuesday said the FBI, Justice Department and U.S. Attorney General Pam Bondi ""have captured our third fugitive on the Ten Most Wanted list since January 20, 2025.""",0.1375,0.25
9,"""When you let good cops be good cops, this is what happens.""",0.7,0.6000000000000001
10,"""That’s not an accident,"" Patel wrote on X. ""When you let good cops be good cops, this is what happens. This administration is giving the new FBI and AG Bondi the resources to get the job done — and we won’t stop.""",0.5121212121212121,0.5515151515151516
11,"Former FBI special agent and Fox News contributor Nicole Parker said she worked with Trump's pick for Attorney General, Pam Bondi. (Fox News Digital)",0.10178571428571428,0.26785714285714285
12,"Parker said the new leadership will ""make the FBI, in my opinion, the number one, premier law enforcement agency again.""",0.13636363636363635,0.45454545454545453
13,The FBI told Fox News Digital that the three fugitives captured since January are as follows:,0.0,0.0
14,"Roman-Bardales, 47, is an alleged MS-13 key senior leader accused of racketeering conspiracy, conspiracy to provide and conceal material support and resources to terrorists, narco-terrorism conspiracy and alien smuggling conspiracy.",-0.11666666666666665,0.6166666666666667
15,FBI ADDS ALLEGED LEADER OF MEZA-FLORES TRANSNATIONAL CRIMINAL ORGANIZATION TO TEN MOST WANTED FUGITIVES LIST,0.0,0.2875
16,Francisco Javier Roman-Bardales was extradited to the United States. (Mexican law enforcement),0.0,0.0
17,"Authorities took Roman-Bardales into custody in Mexico on Monday, then extradited to the United States for legal proceedings.",0.2,0.2
18,"""FBI Ten Most Wanted Fugitive Roman-Bardales has been extradited to the United States to be held accountable for the extreme and depraved violence and terror his leadership of MS-13 allegedly brought to the streets of the United States and across North America,"" FBI Acting Assistant Director in Charge for the New York Field Office Leslie Backschies said in a statement after his arrest. ""The FBI, along with our law enforcement partners are committed to eradicating MS-13 and all violent transnational criminal organizations wherever they operate as we protect our nation.""",-0.09318181818181819,0.4005050505050505
19,A second Top 10 Most Wanted Fugitive was arrested in Mexico on Jan. 30.,0.3333333333333333,0.3333333333333333
20,"Arnoldo Jimenez is accused of murdering his wife, who was found dead in the bathtub of their apartment, less than 48 hours after they were married in Burbank, Illinois, in 2012. He is also accused of fleeing to avoid prosecution.",-0.038888888888888896,0.2388888888888889
21,"Arnoldo Jimenez is accused of murdering his wife less than 48 hours after they were married in Burbank, Ill. (FBI)",0.04166666666666667,0.15833333333333333
22,"""The FBI is extremely appreciative of the Burbank Police Department, our law enforcement partners in Mexico, and the public for their tremendous investigative efforts and collaboration in the capture of Ten Most Wanted Fugitive Arnoldo Jimenez,"" Douglas S. DePodesta, special agent in charge of the FBI’s Chicago Field Office, said in a statement. ""The FBI will use all of its available resources to bring criminals to justice, no matter how much time has passed or where they may be in the world.""",0.29880952380952386,0.45476190476190476
23,"The first FBI 10 Most Wanted fugitive arrest under the Trump administration took place in Florida in January, when Lady Lake Police Sgt. Michelle Bilbrey arrested 60-year-old Donald Eugene Fields II during a routine traffic stop on Jan. 25.",0.2333333333333333,0.27777777777777773
24,"Fields is charged with child sex trafficking and child rape charges in federal and state court. He is accused of knowingly attempting to recruit, entice, provide, patronize and solicit a minor into engaging in a commercial sex act from about January 2013 until June 2017.",0.11666666666666668,0.3
