,Sentence,Polarity,Subjectivity
0,"March 20, 2025 / 9:33 AM EDT          / CBS News",0.0,0.0
1,"Tel Aviv — Israel's defense minister threatened earlier this week to open ""the gates of hell"" in Gaza if Hamas refuses to meet Prime Minister Benjamin Netanyahu's demands, and Israel has been delivering. At least 58 people were killed in a third consecutive night of airstrikes up and down the Palestinian territory, bringing the death toll to an estimated 500 people since the ceasefire was shattered with Tuesday's shock pre-dawn Israeli missile barrages, according to the enclave's Hamas-run Ministry of Health.",-0.10925925925925926,0.2814814814814815
2,"More than a dozen people were killed overnight in a strike on just one house, the home of the Mubarak family in the northern Gaza town of Beit Lahiya. They had gathered to mourn an earlier death. Survivors whisked the bodies of the dead to a hospital by ambulance and horse cart.",0.024999999999999994,0.35
3,"There were reports of fresh airstrikes early Thursday morning near Khan Younis and Rafah in the south of Gaza, near the border with Egypt.",0.15,0.4
4,"The Israel Defense Forces confirmed Tuesday that it had also resumed ground operations in central Gaza, again dividing the strip into north and south along the Netzarim corridor and blocking movement across the line. The IDF said it was also stationing a brigade of troops in the south, while airdropping fliers warning civilians to evacuate from areas around the entire Gaza border, which it warned would be turned back into combat zones.",0.1,0.46875
5,"""The world map will not change if all the people of Gaza vanish,"" read the leaflets dropped by Israeli aircraft, warning people to flee into more central areas of the strip. ""No one will feel for you, and no one will ask about you. You are left alone to face your inevitable fate. Whoever wants to save themselves before it's too late, we are to stay until Judgement Day.""",0.06666666666666667,0.4083333333333334
6,"""The IDF does not intend to harm you,"" a less-threatening post by the IDF spokesman for Arab Media said on X. ""For your safety it is forbidden to approach IDF forces in the defensive zone and in any place where they are deployed.""",0.0,0.0
7,That message followed a severe threat from Israeli Defense Minister Israel Katz to the citizens of Gaza.,0.0,0.0
8,"""Residents of Gaza, this is a final warning,"" he said in a video broadcast Wednesday afternoon. ""If all the Israeli hostages are not released and Hamas is not eliminated from Gaza Israel will act with forces you have never known before. Take the advice of the U.S. President. Return the hostages and eliminate Hamas, and other options will open up for you — including going to other places in the world for those who wish. The alternative is complete destruction and devastation.""",-0.03,0.53
9,"It appeared to be a threat of collective punishment against Gaza's civilian population for the actions of Hamas, which has long been designated a terrorist organization by Israel and the U.S.",-0.05,0.4
10,"Collective punishment is considered a war crime under the Rome Statute of the International Criminal Court, though neither the U.S. nor Israel are signatories to that treaty.",-0.2,0.275
11,"Israel's renewed bombing of Gaza has drawn fierce condemnation from most of the country's Arab neighbors, and renewed efforts by Houthi militants in Yemen to target Israel and ships in the Red Sea with missiles.",0.25,0.25
12,"The Houthis claimed Thursday that they had fired a ""hypersonic ballistic missile"" at Israel before dawn - the second claimed launch in three days. The group said it had attempted to hit Ben Gurion international airport south of Tel Aviv, and air raid alarms shattered the peace many Israelis had grown accustomed to during two months of the ceasefire at 4 a.m. across the city and central Israel.",0.125,0.1875
13,"""A missile launched from Yemen was intercepted by the IAF (Israeli Air Force) prior to crossing into Israeli territory,"" the IDF said in a statement minutes after an all-clear was given. No damage was reported.",0.0,0.0
14,"The Houthis also claimed to have targeted the USS Harry S. Truman aircraft carrier strike group and its warships in the Red Sea with drones and missiles, but the U.S. military said there were no impacts.",-0.05,0.05
15,"The U.S. has responded to the Houthis' resumption of rocket launches with strikes against the group. Overnight, the U.S. struck targets in Yemen's capital of Sanaa, according to Houthi-run Al Masirah TV. At least nine women and children were wounded in a residential neighborhood, a spokesperson for the Houthi-run Yemeni health ministry claimed in a post on X.",-0.3,0.4
16,"U.S. strikes also hit targets in southern Yemen, in a province known to have Houthi military sites and weapons warehouses.",-0.05,0.05
17,"President Trump had threatened on his Truth Social media platform that the group would ""be completely annihilated.""",0.06666666666666667,0.23333333333333334
18,"Thursday morning, U.S. Central Command (CENTCOM) said in a post on X that American ""forces continue 24/7 operations against the Iran-backed Houthis,"" sharing undated videos of U.S. fighter jets taking off from an aircraft carrier.",0.0,0.125
19,"At least 31 people have been killed in Yemen by the U.S. airstrikes, according to Yemeni media reports.",-0.25,0.2
20,"In a statement on Tuesday, CENTCOM said the Houthis had seized control of a World Food Program warehouse in the northern Yemeni city of Saada containing over 5,700,000 pounds of food and other humanitarian aid intended for civilians.",-0.125,0.375
21,"""This is another example of the Houthi's complete and reckless disregard for the people of Yemen and aggression toward the humanitarian operations that help those in need,"" CENTCOM said. ""The Houthis continue to violate international humanitarian law, as well as put aid workers and the Yemini people at risk. The Houthis care nothing for the Yemeni people.""",0.05,0.2
22,Tucker Reals                          contributed to this report.,0.0,0.0
23,"Ramy Inocencio is a CBS News foreign correspondent based in London, covering Europe and the Middle East. He joined the Network in 2019 as CBS News' Asia correspondent, based in Beijing and reporting across the Asia-Pacific, bringing two decades of experience working and traveling between Asia and the United States.",-0.0625,0.0625
24,© 2025 CBS Interactive Inc. All Rights Reserved.,0.0,0.0
25,"Updated on:  March 19, 2025 / 11:02 AM EDT          / CBS News",0.0,0.0
26,"A lunar lander has completed its two-week mission and sent spectacular sunset images as a ""final goodbye"" back to Earth.",0.19999999999999998,0.6333333333333333
27,"The Blue Ghost Mission 1 lander was launched by Firefly Aerospace in mid-January and landed on the moon on March 2. It was the first successful commercial moon landing. The lander delivered 10 NASA science and delivery payloads to the Mare Crisium basin, which is a lava-flooded region on the near side of the moon formed by an asteroid impact.",0.22000000000000003,0.35666666666666663
28,"The payloads were delivered as part of NASA's Commercial Lunar Payload Services and Artemis programs, NASA said in a news release, and were used to collect data and perform other scientific operations on the moon.",-0.0625,0.1875
29,"While making the deliveries, the Blue Ghost lander experienced one lunar day. During the course of that day, it captured several images and videos. It imaged a total solar eclipse from the surface of the moon and also took pictures of the sunset.",0.2,0.4375
30,"In a post on social media, Firefly Aerospace referred to the sunset picture as the lander's farewell.",0.03333333333333333,0.06666666666666667
31,"""Sunsets hit differently on the Moon!"" the company wrote, alongside several photos, including those of the sunset and the eclipse. ""More images below of the horizon glow that comes to life just above the Moon's surface as the sun goes down. This milestone embodies all the achievements from this historic Firefly mission. Thank you #BlueGhost for the final goodbye. Until next time!""",0.043055555555555555,0.3111111111111111
32,Sunsets hit differently on the Moon! More images below of the horizon glow that comes to life just above the Moon’s surface as the sun goes down. This milestone embodies all the achievements from this historic Firefly mission. Thank you #BlueGhost for the final goodbye. Until… pic.twitter.com/qfmETBIVDT,0.05740740740740741,0.4148148148148148
33,"During the mission, the lander transmitted 119 gigabytes of data back to Earth, NASA said. The instruments carried by the lander performed many first-of-their kind science and technology demonstrations, including starting the moon's deepest robotic planetary subsurface thermal probe and using an X-ray imager to study the interaction of solar wind and the Earth's magnetic field.",0.2,0.33999999999999997
34,"""Operating on the Moon is complex; carrying 10 payloads, more than has ever flown on a (Commercial Lunar Payload Services) delivery before, makes the mission that much more impressive,"" Joel Kearns, the deputy associate administrator for exploration at NASA's, Science Mission Directorate, said in a statement. ""Teams are eagerly analyzing their data, and we are extremely excited for the expected scientific findings that will be gained from this mission.""",0.28214285714285714,0.5071428571428571
35,"This mission set a record for the longest commercial mission, NASA said. The Commercial Lunar Payload Services is set to send more than 50 instruments to various parts of the moon, the space agency said.",0.125,0.25
36,"Kerry Breen is a news editor at CBSNews.com. A graduate of New York University's Arthur L. Carter School of Journalism, she previously worked at NBC News' TODAY Digital. She covers current events, breaking news and issues including substance use.",-0.007575757575757576,0.2553030303030303
37,© 2025 CBS Interactive Inc. All Rights Reserved.,0.0,0.0
38,"December 3, 2024 / 1:36 PM EST          / CBS News",0.0,0.0
39,"The seesaw marriage between the former ballerina and her much older husband only lasted four years, until she shot him on Sept. 27, 2020.",0.05555555555555555,0.4444444444444444
40,Ashley Byers met Doug Benefield at a dinner in Florida in August 2016 and sparks flew immediately. Ashley was 24 and a former ballerina and swimsuit model.,0.0,0.0
41,"Doug was 54 and worked as a consultant for technology companies and government contractors. The couple married 13 days later in his hometown of Charleston, South Carolina, in front of very few guests",-0.003333333333333336,0.12666666666666668
